month,division,line,period,num_passengers,additional platform time,additional train time,total_apt,total_att,over_five_mins,over_five_mins_perc,customer journey time performance
2025-03-01,B DIVISION,N,peak,3066350.755859375,1.414173875109754,0.27467625957504,4336353.130859375,842253.7561645508,476757.2961425781,0.1554803524129,0.8445196475871
2025-03-01,B DIVISION,Q,offpeak,3301058.342529297,1.709525363150078,0.658221043135268,5643242.961791992,2172826.0656700134,676576.6621704102,0.204957499070438,0.795042500929562
2025-03-01,B DIVISION,Q,peak,3749017.9453125,1.501372114539404,0.74556648661443,5628671,2795142.137741089,742059.1187744141,0.197934266946423,0.802065733053577
2025-03-01,B DIVISION,R,offpeak,3691926.6987304688,1.474511522702737,0.083163808847154,5443788.458251953,307034.68625092506,678091.2901916504,0.183668676418961,0.816331323581039
2025-03-01,B DIVISION,R,peak,4290036.953125,1.420362949689044,-0.041501327924163,6093409.541015625,-178042.23039841652,660813.5969238281,0.154034476659337,0.845965523340663
2025-03-01,B DIVISION,S Fkln,offpeak,192373.45248413086,0.455734208609828,-0.017183344902373,87671.16312539577,-3305.6193840950727,8444.43393445015,0.043896046078119,0.956103953921882
2025-03-01,B DIVISION,S Fkln,peak,194977.0557861328,0.303204798982395,-0.00337409558188,59117.9790058136,-657.8712224960327,8042.712966799736,0.041249535410062,0.958750464589938
2025-03-01,B DIVISION,S Rock,offpeak,8822.264931678772,1.179977999136806,-0.085833041506554,10410.078521937132,-757.241832062602,958.7327580451965,0.10867195277741,0.89132804722259
2025-03-01,B DIVISION,S Rock,peak,9325.46070098877,0.236250837067369,-0.22119544449808,2203.1478966474533,-2062.749424904585,651.8449647426605,0.069899491901086,0.930100508098914
2025-03-01,B DIVISION,W,offpeak,1347228.8264465332,0.772713079556295,0.147167875204576,1041021.3353505135,198268.80380249023,136383.32738089561,0.101232489020163,0.898767510979837
2025-03-01,B DIVISION,W,peak,1682847.68359375,0.718017459750441,-0.168902240971797,1208314.0189208984,-284236.7449731827,126135.9291381836,0.074953859679575,0.925046140320425
2025-04-01,A DIVISION,1,offpeak,5828222.2822265625,0.918439021424263,0.60327700667802,5352866.76953125,3516032.4926757812,662671.2059936523,0.113700400208568,0.886299599791432
2025-04-01,A DIVISION,1,peak,6128713.66015625,0.903920148167664,0.612846530383995,5539867.759765625,3755960.90234375,518756.3197631836,0.084643588937056,0.915356411062944
2025-04-01,A DIVISION,2,offpeak,3687375.263671875,1.291086326524493,0.683140532162718,4760719.783691406,2518995.4999084473,616568.940246582,0.167210792544235,0.832789207455765
2025-04-01,A DIVISION,2,peak,4185465.65625,1.326194918567193,0.530887548018833,5550743.28515625,2222011.5995635986,575272.3194580078,0.137445237090639,0.862554762909361
